"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",ELIOR GROUP,FR0011950732,0.45,2020-11-26
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.75,2021-02-16
RENAISSANCE TECHNOLOGIES LLC,ERYTECH PHARMA,FR0011471135,0.51,2018-01-02
MELQART ASSET MANAGEMENT (UK) LTD,TECHNIPFMC PLC,GB00BDSFG982,0.48,2021-02-19
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.41,2022-10-04
MARSHALL WACE LLP,CGG,FR0013181864,2.08,2023-11-22
"LUCERNE CAPITAL MANAGEMENT , L.P.",VALLOUREC,FR0013506730,0.43,2020-06-08
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.88,2018-07-23
MARSHALL WACE LLP,EUTELSAT COMMUNICATIONS,FR0010221234,0.52,2022-11-30
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.80,2019-12-10
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.72,2023-11-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.93,2022-04-25
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.91,2023-05-03
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.73,2023-11-27
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.98,2021-03-03
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.51,2022-09-02
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.21,2023-01-16
MARSHALL WACE LLP,RENAULT,FR0000131906,1.41,2022-05-09
"AQR CAPITAL MANAGEMENT, LLC",COMPAGNIE PLASTIC OMNIUM SE,FR0000124570,0.49,2020-06-09
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.01,2023-03-22
CARLSON CAPITAL UK LLP,ELIS,FR0012435121,0.00,2017-09-12
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.21,2019-11-20
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.47,2023-05-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.62,2023-10-27
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.60,2023-11-02
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.12,2019-07-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.00,2023-03-21
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.61,2023-06-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.33,2023-11-14
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.89,2018-08-20
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.80,2021-12-06
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.75,2023-11-30
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.99,2022-02-25
PICTET ASSET MANAGEMENT LIMITED,REXEL,FR0010451203,0.32,2020-06-24
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.91,2018-01-25
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.81,2023-11-22
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,2.17,2022-05-24
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.59,2023-04-20
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,2.09,2023-07-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.12,2022-06-16
ARROWSTREET CAPITAL,MC PHY ENERGY,FR0011742329,1.02,2021-04-20
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.31,2023-11-30
MARSHALL WACE LLP,ERAMET,FR0000131757,1.31,2020-02-07
MARSHALL WACE LLP,RENAULT,FR0000131906,1.51,2022-12-14
CAPITAL FUND MANAGEMENT,ELIOR GROUP,FR0011950732,0.48,2022-12-14
SYQUANT CAPITAL,CGG,FR0013181864,0.42,2020-03-05
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.02,2022-06-02
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.63,2022-10-20
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.62,2022-03-29
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.69,2023-01-25
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.14,2022-10-17
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.55,2022-10-05
NATIXIS SA,SOITEC,FR0013227113,0.89,2022-07-26
CITADEL ADVISORS LLC,LEGRAND,FR0010307819,0.29,2020-03-05
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.99,2023-05-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.64,2023-02-07
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",SOCIETE GENERALE,FR0000130809,0.00,2020-09-18
GLADSTONE CAPITAL MANAGEMENT LLP,VALEO,FR0013176526,1.00,2023-11-07
CAPITAL FUND MANAGEMENT SA,CGG,FR0013181864,0.70,2021-06-23
ALTAIR INVESTMENT MANAGEMENT LTD,AKKA TECHNOLOGIES,FR0004180537,1.01,2020-09-18
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.18,2022-06-13
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.88,2023-10-02
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.70,2023-07-10
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.04,2023-01-20
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.07,2019-11-29
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",REXEL,FR0010451203,0.84,2020-11-05
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.35,2019-09-05
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.74,2023-06-06
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.98,2022-09-23
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.91,2023-10-11
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.09,2019-09-27
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.99,2022-11-07
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",VERGNET SA,FR001400D512,1.10,2023-01-06
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.08,2019-09-24
"PDT PARTNERS, LLC",VALLOUREC,FR0000120354,0.49,2020-05-12
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.25,2023-05-31
"SUSQUEHANNA INTERNATIONAL GROUP
LTD",FNAC SA,FR0011476928,0.59,2013-06-21
"BRIDGEWATER ASSOCIATES, LP",ESSILORLUXOTTICA,FR0000121667,0.47,2020-03-19
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.20,2023-11-16
CREDIT INDUSTRIEL ET COMMERCIAL,VALLOUREC,FR0013506730,0.51,2023-05-05
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.80,2023-11-20
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.90,2023-10-02
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.22,2019-04-17
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.96,2018-09-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.20,2022-02-15
"Public Equity Partners Management, L.P.",BOURBON,FR0004548873,0.70,2015-03-23
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.60,2022-11-11
BLACKROCK ADVISORS LLC,SMCP,FR0013214145,0.48,2020-07-15
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.90,2022-11-14
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.75,2023-02-10
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.22,2021-11-15
"HIGHBRIDGE CAPITAL MANAGEMENT,
LLC",NACON,FR0013482791,1.14,2021-11-09
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.55,2022-09-21
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.09,2021-03-01
MARSHALL WACE LLP,REMY COINTREAU,FR0000130395,0.47,2021-01-28
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.33,2022-12-06
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,1.39,2021-04-08
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,3.80,2023-06-08
"D.E. SHAW & CO., L.P.",ERAMET,FR0000131757,0.49,2020-05-15
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.74,2023-06-23
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,4.14,2023-11-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.77,2023-10-06
MARSHALL WACE LLP,PERNOD RICARD,FR0000120693,0.50,2023-11-10
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",VALLOUREC,FR0013506730,0.46,2022-06-29
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.82,2022-11-18
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,0.98,2023-11-06
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.69,2023-10-04
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.95,2023-10-26
LONE PINE CAPITAL LLC,TECHNIPFMC PLC,GB00BDSFG982,0.00,2020-03-20
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,1.01,2023-11-22
"Public Equity Partners Management, L.P.",BOURBON,FR0004548873,0.50,2015-03-16
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.53,2023-09-22
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.21,2022-04-14
PENTWATER CAPITAL MANAGEMENT LP,PEUGEOT S.A.,FR0000121501,0.00,2021-01-18
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.21,2015-07-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.70,2023-09-14
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.66,2023-10-06
WORLDQUANT LLC,DBV TECHNOLOGIES,FR0010417345,0.62,2020-11-05
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.52,2023-10-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.61,2022-10-21
MARSHALL WACE LLP,TELEPERFORMANCE,FR0000051807,0.91,2023-08-22
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.19,2022-02-16
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.20,2022-11-21
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.66,2023-07-10
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.88,2023-10-10
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.10,2022-01-26
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.89,2022-03-31
MASON CAPITAL MANAGEMENT LLC,TECHNIPFMC PLC,GB00BDSFG982,0.00,2021-02-26
"WELLINGTON MANAGEMENT COMPANY
LLP",KORIAN,FR0010386334,0.48,2020-10-12
ENGADINE PARTNERS LLP,NEOPOST,FR0000120560,0.44,2020-03-04
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.70,2022-09-16
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.43,2022-12-08
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.86,2022-10-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.58,2023-11-08
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.66,2022-04-06
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.97,2023-03-24
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.92,2023-07-13
AKO CAPITAL LLP,EIFFAGE,FR0000130452,1.00,2023-10-10
MARSHALL WACE LLP,RENAULT,FR0000131906,1.62,2022-09-20
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.22,2022-06-03
CITADEL ADVISORS LLC,CASINO GUICHARD-PERRACHON,FR0000125585,0.60,2022-06-13
"HIGHBRIDGE CAPITAL MANAGEMENT,
LLC",NACON,FR0013482791,0.99,2022-10-11
VOLEON CAPITAL MANAGEMENT LP,CARBIOS,FR0011648716,0.41,2020-11-12
CIGOGNE MANAGEMENT,ALSTOM,FR0010220475,0.02,2020-12-07
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.99,2022-01-12
"KAIROS INVESTMENT MANAGEMENT
LIMITED",SOLUTIONS 30 SE,FR0013379484,0.48,2022-05-26
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,0.74,2023-08-31
GLADSTONE CAPITAL MANAGEMENT LLP,VALEO,FR0013176526,1.00,2023-11-01
MARSHALL WACE LLP,CGG,FR0013181864,0.70,2023-09-05
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,0.70,2023-07-12
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.90,2023-03-08
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.70,2020-01-17
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.03,2022-08-02
"KAIROS INVESTMENT MANAGEMENT
LIMITED",SOLUTIONS 30 SE,FR0013379484,0.55,2022-04-29
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.70,2022-06-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.12,2022-01-14
CITADEL ADVISORS LLC,CASINO GUICHARD-PERRACHON,FR0000125585,0.68,2023-04-05
DSAM PARTNERS (LONDON) LTD,KLEPIERRE,FR0000121964,0.49,2021-02-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.99,2022-11-15
MARSHALL WACE LLP,RENAULT,FR0000131906,1.60,2022-06-27
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.79,2019-10-30
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.08,2022-11-16
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",BONDUELLE,FR0000063935,0.49,2021-01-20
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.71,2022-11-02
BLACKROCK ADVISORS LLC,WORLDLINE,FR0011981968,0.00,2020-10-22
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.57,2023-07-19
EMS CAPITAL LP,SOCIETE BIC,FR0000120966,0.66,2019-07-31
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.92,2023-09-20
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.15,2023-03-27
"POLAR ASSET MANAGEMENT PARTNERS
INC.",REMY COINTREAU,FR0000130395,0.51,2021-06-11
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.97,2023-05-23
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.63,2023-03-30
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.47,2022-11-14
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.20,2019-11-14
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.01,2023-03-08
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,0.82,2015-03-31
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.75,2023-10-06
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.77,2023-04-11
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.70,2021-02-09
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.78,2023-06-28
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.51,2022-11-01
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.30,2023-03-31
"SCULPTOR CAPITAL MANAGEMENT
EUROPE LIMITED",VALLOUREC,FR0013506730,0.47,2020-12-16
IMMERSION CAPITAL MASTER FUND LTD,SPIE SA,FR0012757854,0.00,2021-02-01
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.92,2023-11-02
SOUTHPOINT CAPITAL ADVISORS LP,KLEPIERRE,FR0000121964,0.10,2022-01-25
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.59,2022-08-09
ACTUSRAYPARTNERS LIMITED,LA FRANCAISE DE L'ENERGIE,FR0013030152,0.50,2022-09-26
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.61,2023-06-08
GLADSTONE CAPITAL MANAGEMENT LLP,VALEO,FR0013176526,0.83,2023-10-11
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.82,2023-02-09
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.30,2023-03-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.46,2023-11-01
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.52,2023-03-27
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.48,2020-03-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.63,2023-11-17
MARSHALL WACE LLP,CAPGEMINI,FR0000125338,0.60,2023-11-15
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.50,2022-02-28
MARSHALL WACE LLP,CGG,FR0013181864,0.53,2023-08-17
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",VERGNET SA,FR001400D512,0.33,2023-01-09
GSA CAPITAL PARTNERS L.L.P.,DBV TECHNOLOGIES,FR0010417345,0.49,2021-02-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.57,2023-04-14
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.80,2019-08-02
ALPINE ASSOCIATES MANAGEMENT INC.,WORLDLINE,FR0011981968,0.01,2020-11-02
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.66,2019-01-22
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.87,2019-08-12
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.60,2023-07-06
SCOPIA CAPITAL MANAGEMENT LP,CASINO GUICHARD-PERRACHON,FR0000125585,0.37,2020-03-30
THELEME PARTNERS LLP,EUTELSAT COMMUNICATIONS,FR0010221234,0.49,2020-05-15
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.95,2023-10-27
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.69,2023-10-20
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.81,2020-07-24
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.90,2023-03-14
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.87,2016-06-24
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.90,2023-08-29
CYRUS CAPITAL PARTNERS LP,VALLOUREC,FR0000120354,0.37,2020-03-17
"LIGHT STREET CAPITAL MANAGEMENT,
LLC",ACCOR,FR0000120404,0.49,2020-03-17
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.58,2020-01-17
"BOUSSARD &amp; GAVAUDAN
INVESTMENT MANAGEMENT LLP",RALLYE,FR0000060618,0.89,2016-01-29
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.84,2022-01-04
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.00,2022-05-03
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.65,2023-09-13
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.59,2023-11-07
SYSTEMATICA INVESTMENTS LIMITED,VALLOUREC,FR0013506730,0.68,2023-07-27
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.60,2022-10-06
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.87,2023-03-14
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.20,2023-07-03
VOLEON CAPITAL MANAGEMENT LP,ADOCIA,FR0011184241,0.71,2023-11-29
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.70,2023-03-24
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",VERGNET SA,FR001400D512,0.00,2023-01-13
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.91,2023-11-23
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CARREFOUR,FR0000120172,0.74,2023-10-10
MARSHALL WACE LLP,ERAMET,FR0000131757,1.29,2020-01-28
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.02,2022-12-09
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",SES,LU0088087324,0.61,2023-06-06
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.22,2023-10-30
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.03,2019-08-13
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.09,2022-05-20
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.06,2022-01-20
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.78,2019-08-14
MILLENNIUM CAPITAL PARTNERS LLP,NEXANS,FR0000044448,0.78,2020-07-21
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",EUTELSAT COMMUNICATIONS,FR0010221234,0.72,2020-05-26
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,0.95,2023-10-27
ARROWSTREET CAPITAL,MC PHY ENERGY,FR0011742329,0.72,2021-03-31
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,0.88,2023-11-27
MARSHALL WACE ASIA LIMITED,ALSTOM,FR0010220475,0.48,2023-01-09
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.87,2022-11-25
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.79,2017-11-16
CITADEL ADVISORS LLC,GENFIT,FR0004163111,0.24,2020-04-14
SYSTEMATICA INVESTMENTS LIMITED,AIR FRANCE-KLM,FR0000031122,0.49,2020-10-20
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.60,2023-03-28
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,1.82,2023-03-10
"AQR CAPITAL MANAGEMENT, LLC",GETLINK SE,FR0010533075,0.50,2022-05-09
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.95,2023-11-01
VOLEON CAPITAL MANAGEMENT LP,VALLOUREC,FR0013506730,0.44,2021-02-16
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.30,2023-06-29
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.38,2020-01-15
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.79,2023-03-24
MARSHALL WACE LLP,ERAMET,FR0000131757,1.10,2019-12-10
SKYE GLOBAL MANAGEMENT LP,QUADIENT S.A.,FR0000120560,0.42,2020-11-24
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.73,2023-04-19
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,0.60,2022-05-11
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,1.01,2021-05-20
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.74,2020-02-17
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.60,2023-09-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.23,2023-03-10
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.68,2021-11-26
AHL PARTNERS LLP,REMY COINTREAU,FR0000130395,0.90,2016-11-24
CITADEL ADVISORS LLC,EUROPCAR MOBILITY GROUP,FR0012789949,0.46,2020-07-15
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.99,2021-05-25
MARSHALL WACE LLP,RENAULT,FR0000131906,1.33,2023-03-20
MIRABELLA FINANCIAL SERVICES LLP,UBISOFT ENTERTAINMENT,FR0000054470,0.57,2023-11-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.32,2022-05-25
