"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.59,2023-10-31
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.12,2023-05-04
MARSHALL WACE LLP,RENAULT,FR0000131906,1.49,2022-06-10
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.84,2023-09-12
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.18,2019-12-09
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.90,2023-11-20
EMINENCE CAPITAL LP,REMY COINTREAU,FR0000130395,0.49,2020-06-23
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,0.92,2019-02-11
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,3.83,2023-10-31
"SEGANTII CAPITAL MANAGEMENT (UK)
LIMITED",PEUGEOT S.A.,FR0000121501,0.47,2020-06-11
MARSHALL WACE LLP,ERAMET,FR0000131757,0.49,2020-09-16
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON CORPORATION,FR0004548873,1.49,2019-08-15
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.33,2023-03-16
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.72,2023-10-31
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.09,2023-03-20
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.52,2023-10-30
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.89,2023-08-18
MARSHALL WACE LLP,RENAULT,FR0000131906,1.52,2022-05-16
"CAPSTONE VOLATILITY MASTER
(CAYMAN) LIMITED",PEUGEOT S.A.,FR0000121501,0.47,2020-12-17
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.69,2023-06-06
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.90,2023-11-28
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.58,2023-03-10
VOLEON CAPITAL MANAGEMENT LP,GENSIGHT BIOLOGICS S.A.,FR0013183985,0.48,2021-11-29
BLACKROCK ADVISORS LLC,PEUGEOT S.A.,FR0000121501,0.00,2021-01-18
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,1.21,2021-02-25
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.86,2023-11-24
CITADEL EUROPE LLP,SMCP,FR0013214145,0.49,2020-10-29
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.04,2019-09-06
MARSHALL WACE LLP,ERAMET,FR0000131757,0.62,2019-09-17
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.04,2019-07-03
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.19,2022-07-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.79,2022-10-19
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.79,2022-06-30
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.82,2018-01-18
"POLAR ASSET MANAGEMENT PARTNERS
INC.",SOITEC,FR0013227113,0.49,2021-01-27
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.90,2016-02-19
AKO CAPITAL LLP,SPIE SA,FR0012757854,0.36,2021-03-12
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.69,2022-10-31
MARSHALL WACE LLP,ERAMET,FR0000131757,0.75,2019-09-25
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,0.80,2019-02-06
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",GECINA,FR0010040865,0.36,2021-02-23
"CANADA PENSION PLAN INVESTMENT
BOARD",SOITEC,FR0013227113,0.86,2023-03-20
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.47,2022-11-02
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,2.01,2023-10-10
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.01,2023-06-22
BLACKROCK ADVISORS LLC,WORLDLINE,FR0011981968,0.62,2020-07-21
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,1.75,2022-10-10
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.58,2022-10-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.85,2023-06-06
CAPITAL FUND MANAGEMENT,AIR FRANCE-KLM,FR001400J770,0.54,2023-10-31
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.70,2015-11-30
MARSHALL WACE LLP,ERAMET,FR0000131757,0.51,2019-09-04
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.01,2023-03-27
MARSHALL WACE LLP,RENAULT,FR0000131906,1.51,2022-06-17
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.92,2023-05-23
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.68,2019-11-08
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,1.11,2023-11-24
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.89,2023-09-01
B&G MASTER FUND PLC,ORPEA,FR0000184798,0.63,2022-09-16
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",TELEVISION FRANCAISE 1,FR0000054900,1.44,2022-05-19
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.28,2022-04-13
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.30,2021-11-17
CITADEL ADVISORS EUROPE LIMITED,NEOEN,FR0011675362,1.43,2022-07-01
WORLDQUANT LLC,DBV TECHNOLOGIES,FR0010417345,1.00,2020-08-12
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.63,2023-03-03
OMERS ADMINISTRATION CORPORATION,WORLDLINE,FR0011981968,0.38,2020-10-28
MARSHALL WACE LLP,TELEPERFORMANCE,FR0000051807,0.84,2023-08-18
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.69,2023-07-04
MARSHALL WACE LLP,RENAULT,FR0000131906,0.97,2023-07-07
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.93,2022-07-15
CITADEL ADVISORS LLC,CHARGEURS,FR0000130692,0.49,2020-07-16
